0,Доля_детей_5-18 лет,Естесственный_прирост_населения,Количество_малых_и_средних_предприятий,Миграционный_прирост_населения,Общий_коэффициент_рождаемости,Общий_коэффициент_смертности,Площадь_жилых_помещений_на_1_жителя,Процент_парков_и_лесов_от_площади,Процент_работающих_в_малом_и_среднем_бизнесе,Средняя_зарплата_сотрудников_крупных_организаций,Стоимость_съема_квартиры_площадью_в_40_м2,Цена_за_квадратный_метр_жилья_медианная,Выдано_разрешений_на_строительство,Численность_населения
район Лефортово,10.9,0.4,662.26,-3.07,7.2,6.8,15.0,8.358177847,39.7,79220.78124,35000.0,182428.0702,11,93700
район Лианозово,10.7,0.1,181.87,13.33,9.6,9.5,17.6,22.54900899,61.34,65711.82004,30000.0,156603.7736,0,85500
Ломоносовский район,11.23,-4.9,355.93,16.8,7.0,11.9,23.7,5.505993905,65.13,70994.9496,37037.0,231781.2344,3,87800
Лосиноостровский район,10.19,-3.2,211.48,13.25,8.2,11.4,18.1,18.01426609,64.21,57582.2079,29787.0,149328.863,2,82900
район Люблино,13.0,3.3,236.49,8.26,12.9,9.6,17.3,4.074637092,54.71,58599.67562,32000.0,145417.8905,7,171850
район Марфино,9.01,0.9,602.26,33.39,10.2,9.3,20.8,1.661549284,66.93,68247.34961,36129.0,184090.9091,1,34400
район Марьина Роща,9.94,-2.4,370.01,5.49,5.9,8.3,16.5,3.397403618,36.79,103719.5723,37647.0,209224.9424,4,67300
район Марьино,15.07,3.8,179.65,-3.06,10.7,6.9,18.7,6.065977277,64.39,55451.60586,31034.0,148648.6486,3,253300
район Матушкино,13.62,-2.4,335.08,37.21,10.8,13.2,20.2,7.657349452,51.6,68131.6,22105.0,114285.7143,1,40200
район Метрогородок,11.85,0.3,208.02,9.17,7.8,7.5,15.3,31.56289374,25.11,73564.9,30000.0,147500.0,0,38400
Мещанский район,8.98,0.5,1221.05,9.72,9.9,9.4,23.0,10.26885011,13.69,104198.8445,45273.0,244531.4199,5,60400
район Митино,13.84,6.1,214.13,11.17,11.8,5.7,20.0,24.50731341,80.69,64224.27682,30476.0,140397.351,6,190800
